id,hospcode,areacode,date_com,b_year,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7,r2_1,r2_2,r3,r4,r5,r6
"297c1cb035778f7b49357693e6867e6c","09144","84010303","202511170550","2568",0,0,0,0,146,0,10,0,144,36,72,0,1
"297c1cb035778f7b49357693e6867e6c","06827","58010205","202511180352","2568",0,0,0,0,47,0,0,0,0,60,61,0,0
"297c1cb035778f7b49357693e6867e6c","09343","85040605","202511180345","2568",2,2,0,0,3,0,6,0,2,36,74,0,0
"297c1cb035778f7b49357693e6867e6c","05444","47010204","202511161930","2568",0,0,0,0,11,0,0,0,0,96,124,0,0
"297c1cb035778f7b49357693e6867e6c","01070","13010303","202511170512","2568",0,0,0,0,6,0,0,0,9,183,108,0,0
"297c1cb035778f7b49357693e6867e6c","03530","34010707","202511170811","2568",6,7,0,4,43,1,9,0,0,83,252,0,0
"297c1cb035778f7b49357693e6867e6c","06288","53030701","202511171107","2568",0,0,0,0,8,0,13,0,11,62,113,0,0
"297c1cb035778f7b49357693e6867e6c","07366","63080402","202511171737","2568",9,9,0,1,8,0,1,0,30,3,59,0,0
"297c1cb035778f7b49357693e6867e6c","08160","72010904","202511171636","2568",0,0,7,0,30,1,0,0,15,12,158,0,0
"297c1cb035778f7b49357693e6867e6c","05601","48010701","202511180414","2568",1,0,0,0,0,0,0,0,2,0,1,0,0
"297c1cb035778f7b49357693e6867e6c","06556","56010403","202511171152","2568",0,1,0,0,10,0,1,0,8,153,177,0,11
"297c1cb035778f7b49357693e6867e6c","02537","30010304","202511160333","2568",0,1,0,0,19,10,2,0,0,29,46,0,0
"297c1cb035778f7b49357693e6867e6c","07965","70071106","202511171608","2568",0,0,0,0,18,0,0,0,0,101,164,0,0
"297c1cb035778f7b49357693e6867e6c","08630","76051408","202511171249","2568",0,0,0,0,21,0,0,0,0,32,232,0,0
"297c1cb035778f7b49357693e6867e6c","04491","41011005","202511162255","2568",0,0,0,0,33,79,1,0,18,65,31,0,0
"297c1cb035778f7b49357693e6867e6c","09662","92011501","202511170038","2568",0,0,0,0,0,0,0,0,2,30,139,0,0
"297c1cb035778f7b49357693e6867e6c","09660","92011302","202511170038","2568",6,0,0,0,0,0,0,0,74,2,92,0,0
"297c1cb035778f7b49357693e6867e6c","08676","77010402","202511180351","2568",0,0,0,0,2,0,0,0,0,19,59,0,0
"297c1cb035778f7b49357693e6867e6c","01808","20010704","202511171541","2568",0,0,0,0,3,0,1,0,0,61,55,0,0
"297c1cb035778f7b49357693e6867e6c","07324","63040307","202511171737","2568",0,0,4,0,30,0,73,0,0,2,23,0,0
"297c1cb035778f7b49357693e6867e6c","03090","32010301","202511170802","2568",8,0,0,0,71,0,0,0,185,160,260,0,0
"297c1cb035778f7b49357693e6867e6c","05457","47011303","202511161930","2568",0,1,0,2,1,0,0,0,0,93,33,0,0
"297c1cb035778f7b49357693e6867e6c","02021","22010904","202511180401","2568",0,0,0,0,6,0,0,0,0,1,10,0,0
"297c1cb035778f7b49357693e6867e6c","04261","40011002","202511180536","2568",29,2,1,3,59,0,17,6,25,80,240,0,2
"297c1cb035778f7b49357693e6867e6c","08991","81010601","202511162309","2568",0,0,0,0,68,0,8,0,0,9,131,0,0
"297c1cb035778f7b49357693e6867e6c","06647","57010303","202511180600","2568",0,0,0,0,5,0,1,0,0,33,31,0,0
"297c1cb035778f7b49357693e6867e6c","09347","86010304","202511170929","2568",0,0,0,0,8,0,0,54,76,40,21,0,0
"297c1cb035778f7b49357693e6867e6c","08014","71010701","202511180245","2568",0,0,0,0,127,0,32,0,5,56,109,0,0
"297c1cb035778f7b49357693e6867e6c","05600","48010611","202511180414","2568",1,0,0,0,0,0,0,0,4,0,0,0,0
"297c1cb035778f7b49357693e6867e6c","02452","27011109","202511170954","2568",0,0,0,0,7,0,0,0,0,0,12,0,0
"297c1cb035778f7b49357693e6867e6c","05599","48010606","202511180414","2568",0,0,0,0,1,0,0,0,0,177,50,0,0
"297c1cb035778f7b49357693e6867e6c","02023","22011005","202511180401","2568",0,0,0,0,7,0,0,0,0,1,70,0,0
"297c1cb035778f7b49357693e6867e6c","09122","83010302","202511180532","2568",4,0,9,0,291,0,6,0,65,61,80,0,0
"297c1cb035778f7b49357693e6867e6c","01153","14010905","202511171943","2568",0,0,0,0,11,0,0,0,1,137,233,0,0
"297c1cb035778f7b49357693e6867e6c","01098","13020613","202511170512","2568",0,0,0,0,175,1,1,0,0,39,76,0,0
"297c1cb035778f7b49357693e6867e6c","05394","46100705","202511170452","2568",11,2,101,0,139,0,210,0,0,129,66,0,0
"297c1cb035778f7b49357693e6867e6c","04673","42010804","202511171419","2568",15,4,0,0,14,0,3,0,30,37,119,0,0
"297c1cb035778f7b49357693e6867e6c","07476","65010203","202511170854","2568",3,0,0,0,0,0,0,0,52,17,109,0,0
"297c1cb035778f7b49357693e6867e6c","00988","11060109","202511171855","2568",0,0,0,0,2,0,0,0,0,16,12,0,0
"297c1cb035778f7b49357693e6867e6c","05667","48060110","202511180414","2568",0,0,0,0,10,0,0,0,0,0,60,0,0
"297c1cb035778f7b49357693e6867e6c","08382","73031102","202511171620","2568",0,0,0,2,105,0,0,0,8,208,389,0,6
"297c1cb035778f7b49357693e6867e6c","11038","42110203","202511171419","2568",467,0,258,84,235,0,175,0,499,500,456,0,26
"297c1cb035778f7b49357693e6867e6c","05293","46010406","202511170452","2568",0,0,0,0,24,0,5,0,3,11,266,0,0
"297c1cb035778f7b49357693e6867e6c","05440","46170311","202511170452","2568",0,0,0,0,10,0,10,0,0,215,464,0,0
"297c1cb035778f7b49357693e6867e6c","08414","73050606","202511171620","2568",0,0,0,0,196,0,0,0,0,150,272,0,0
"297c1cb035778f7b49357693e6867e6c","01062","12060708","202511170715","2568",0,0,0,0,13,0,0,0,0,78,101,0,0
"297c1cb035778f7b49357693e6867e6c","07372","64010306","202511180111","2568",0,0,0,0,22,0,0,0,0,34,7,0,0
"297c1cb035778f7b49357693e6867e6c","10197","27010211","202511170954","2568",0,0,0,1,2,0,0,0,1,80,2,0,0
"297c1cb035778f7b49357693e6867e6c","04158","37070201","202511170732","2568",1,0,0,0,0,0,10,0,1,9,5,0,0
"297c1cb035778f7b49357693e6867e6c","02118","23010404","202511172305","2568",0,0,0,0,23,0,0,0,6,0,12,0,0
"297c1cb035778f7b49357693e6867e6c","08151","72010203","202511171636","2568",0,0,0,0,29,0,0,0,0,7,101,0,0
"297c1cb035778f7b49357693e6867e6c","08010","71010311","202511180245","2568",0,3,0,0,127,4,10,1,25,114,467,0,0
"297c1cb035778f7b49357693e6867e6c","02436","27010210","202511170954","2568",0,0,0,1,0,1,0,0,1,66,15,0,0
"297c1cb035778f7b49357693e6867e6c","28817","92100109","202511170038","2568",629,1,111,16,36,0,185,4,288,138,199,0,3
"297c1cb035778f7b49357693e6867e6c","08553","75030808","202511180221","2568",0,0,0,0,0,0,0,0,0,97,214,0,0
"297c1cb035778f7b49357693e6867e6c","07266","63010507","202511171737","2568",1,0,0,0,5,0,3,0,70,57,101,0,7
"297c1cb035778f7b49357693e6867e6c","01076","13010712","202511170512","2568",0,2,0,0,5,0,0,0,0,53,30,0,0
"297c1cb035778f7b49357693e6867e6c","03525","34010401","202511170811","2568",3,2,2,0,28,0,0,0,12,74,238,0,0
"297c1cb035778f7b49357693e6867e6c","09663","92011508","202511170038","2568",41,0,0,0,37,0,22,0,56,9,67,0,0
"297c1cb035778f7b49357693e6867e6c","02184","24010301","202511180446","2568",0,0,0,0,0,0,0,0,0,0,2,0,0
"297c1cb035778f7b49357693e6867e6c","01935","21011202","202511170530","2568",0,1,0,0,25,0,1,0,44,24,32,0,2
"297c1cb035778f7b49357693e6867e6c","27981","11040708","202511171855","2568",22,0,1,2,166,0,209,0,18,214,335,0,0
"297c1cb035778f7b49357693e6867e6c","08675","77010306","202511180351","2568",0,0,0,0,109,1,1,0,0,28,95,0,0
"297c1cb035778f7b49357693e6867e6c","01071","13010401","202511170512","2568",0,0,0,0,18,0,5,0,0,84,43,0,1
"297c1cb035778f7b49357693e6867e6c","10696","23010700","202511172305","2568",2002,158,477,1304,835,256,1052,21,4483,2230,3045,0,283
"297c1cb035778f7b49357693e6867e6c","05167","45070602","202511170342","2568",0,0,0,0,7,0,0,0,0,38,32,0,0
